id,id_name,typ,alter,land,position
fc_sam,fc samtredia,2,-1,geogien,-1
fc_sapa,fc sao paulo,2,-1,brasilien,-1
fc_sa,fc saarbruecken,2,-1,deutschland,-1
fc_sant,fc santon,2,-1,brasilien,-1
fc_sc,fc schalke ,2,-1,deutschland,-1
fc_wil,fc wil 1900,2,-1,schweiz,-1
fc_v,fc valencia,2,-1,spanien,-1
fc_vi,fc villarreal ,2,-1,spanien,-1
fe_cr,federico crescenti,1,2004,italien,mittelstuermer
fe_va,fehervar,2,-1,ungarn,-1
fer_do,fernando,1,1999,brasilien,sturm
fgcu,fgcu eagles,2,-1,usa,-1
fk_au,fk austria wien,2,-1,oesterreich,-1
fk_tsc,fk tsc backa topola,2,-1,serbien,-1
fl_va,florian valot,1,1993,frankreich,rechtsaußen
fl_da,flavius daniliuc,1,2001,oesterreich,innenverteidiger
fl_rio,flamengo rio de janeiro,2,-1,brasilien,-1
flumi,fluminense rio,2,-1,brasilien,-1
flumi_u23,fluminense u 23,2,-1,brasilien,-1
fort,fortaleza esporte club,2,-1,brasilien,-1
fsv_m,fsv mainz 05,2,-1,deutschland,-1
fr_ja,frederik jaekel,1,2001,deutschland,innenverteidiger
fv_i,fv illertissen,2,-1,deutschland,-1
ga_is,galatasaray istanbul,2,-1,tuerkei,-1
ga_no,gabriel novaes,1,1999,brasilien,mittelstuermer
ga_di,gaoussou diakite,1,2005,mali,-1
g_bo,fc girondins bordeaux,2,-1,frankreich,-1
ge_cfc,genua cfc,2,-1,italien,-1
geor,georgetown hoyas,2,-1,usa,-1
gi_me,gideon mensah,1,1998,ghana,linker verteidiger
gi_ni,giannis nikopolidis,1,2000,griechenland,torwart
gi_vic,gil vicente fc,2,-1,portugal,-1
goia,goias ec,2,-1,brasilien,-1
gr_ak,grazer ak,2,-1,oesterreich,-1
gr_fue,greuther fuerth,2,-1,deutschland,-1
gr_ig,groedig,2,-1,oesterreich,-1
grem,gremio porto alegre,2,-1,brasilien,-1
gr_zu,grasshopper club zuerich,,-1,schweiz,-1
gu_fc,guarani fc,2,-1,brasilien,-1
gui_fc,guidars fc,2,-1,mali,-1
hapo,hapoel bee sheva,2,-1,israel,-1
ha_nd,hassan ndam,1,1998,kamerun,innenverteidiger
ha_sp,hajduk split,2,-1,kroatien,-1
ha_fc,hallersche fc,2,-1,deutschland,-1
ha_sv,hamburger sv,2,-1,deutschland,-1
ha_wo,hannes wolf,1,1999,oesterreich,rechtsaußen
hann,hannover 96,2,-1,deutschland,-1
he_bl,hendry blank,1,2004,deutschland,innenverteidiger
he_mo,henry mosquera,1,2001,kolumbien,linksaußen
he_ca,helio nunes de castro ,1,2000,brasilien,rechtsaußen
he_hw,hee chan hwang,1,1996,suedkorea,mittelstuermer
he_al,heracles almelo,2,-1,niederlande,-1
ho_ki,holstein kiel,2,-1,deutschland,-1
hous,housten dynamo fc,2,-1,usa,-1
hu_no,hugo novoa,1,2003,spanien,rechter verteidiger
hy_da,hyoran Dalmoro,1,1993,brasilien,offensives mittelfeld
ib_ko,ibrahima konate,1,1999,frankreich,innenverteidiger
if_u19,if brommapojkarna u19,2,-1,schweden,-1
ig_br,ignace van der brempt,1,2002,belgien,rechter verteidiger
ig_la,ignacio laquintana,1,1999,uruguay,rechtsaußen
il_mo,ilaix moriba,1,2003,guinea,zentrales mittelfeld
imi,inter miami cf,2,-1,usa,-1
in_lim,inter limeira,2,-1,brasilien,-1
inte,sc internacional,2,-1,brasilien,-1
inde,independiente ,2,-1,ecuador,-1
ista,istanbulspor,2,-1,tuerkei,-1
is_dr,issiar drame,1,1999,mali,innenverteidiger
itap,itapirense sp,2,-1,brasilien,-1
itua,ituano sp,2,-1,brasilien,-1
