id,id_name,typ,alter,land,position
ud_ca,udinese calcia,2,-1,italien,-1
us_sa,us salernitana 1919,2,-1,italien,-1
usk_an,usk anif,2,-1,oesterreich,-1
va_oe,valentin oelz,1,2005,oesterreich,torwart
va_su,valentin sulzbacher,1,2005,oesterreich,zentrales mittelfeld
va_ga,vasco da gama,2,-1,brasilien,-1
ve_ff,vendsyssel ff,2,-1,norwegen,-1
vfl_w,vfl wolfsburg,2,-1,deutschland,-1
vfl_bo,vfl bochum,2,-1,deutschland,-1
vi_ff,viborg ff,2,-1,daenemark,-1
vi_ca,victor hugo santana carvalho,1,1998,brasilien,offensives mittelfeld
vi_pi,victor pires dos santos,1,2001,brasilien,offensives mittelfeld
virg,virginia cavaliers,2,-1,usa,-1
vi_na,vitor hugo naum,1,1999,brasilien,linksaußen
vi_gu,vitoria guimaraes sc,2,-1,portugal,-1
vi_pe,vinicius mendonca pereira,1,2004,brasilien,linksaußen
wake,wake forest demon deacons,2,-1,usa,-1
wa_fc,west african football academy,2,-1,ghana,-1
watf,watford fc,2,-1,england,-1
we_po,werik popo,1,2001,brasilien,mittelstuermer
we_pi,wesley pionteck,1,1996,brasilien,rechtsaußen
we_mo,weverson moreira,1,2000,brasilien,linker verteidiger
we_si,weverton da silva,1,1999,brasilien,rechter verteidiger
wi_2,willem 2,2,-1,niederlande,-1
wo_ac,wolfsberger ac,2,-1,oesterreich,-1
wo_wa,wolverhamton wanderers,2,-1,england,-1
wsg_ti,wsg tirol,2,-1,oesterreich,-1
xa_si,xavi simons,1,2003,niederlande,offensives mittelfeld
xa_sc,xaver schlager,1,1997,oesterreich,zentrales mittelfeld
yara,yaracuyanos,2,-1,venezuela,-1
yale,yale bulldogs,2,-1,usa,-1
yt_ol,ytalo jose oliveira,1,1988,brasilien,mittelstuermer
ze_ja,zeteny jano,1,2005,oesterreich,offensives mittelfeld
yo_di,youba diarra,1,1998,mali,zentrales mittelfeld
yv_mv,yvon mvogo,1,1994,schweiz,torwart
z_sp,zenit st petersburg,2,-1,russland,-1
za_ry,zach ryan,1,1999,usa,sturm
zu_wa,zulte waregem,2,-1,belgien,-1
